Parameter,,,,
Table Analyzed,Interburst Interval,,,
  TB,-0.1037,4.639,P<0.001,***
  Yan,-0.1109,4.964,P<0.001,***
,,,,
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-65.0 gnaps=1.8,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.406,3.226,-0.1804,-0.2641 to -0.09672
  Yan,3.384,3.064,-0.3208,-0.4045 to -0.2371
,,,,
Model,Difference,t,P value,Summary
  TB,-0.1804,8.074,P<0.001,***
  Yan,-0.3208,14.35,P<0.001,***
,,,,
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-65.0 gnaps=1.8,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.406,3.106,-0.3003,-0.3840 to -0.2166
  Yan,3.384,2.755,-0.6293,-0.7130 to -0.5456
,,,,
Model,Difference,t,P value,Summary
  TB,-0.3003,13.44,P<0.001,***
  Yan,-0.6293,28.16,P<0.001,***
,,,,
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-65.0 gnaps=2.4,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.357,3.302,-0.05432,-0.1380 to 0.02938
  Yan,3.332,3.274,-0.05864,-0.1423 to 0.02506
,,,,
Model,Difference,t,P value,Summary
  TB,-0.05432,2.431,P < 0.05,*
  Yan,-0.05864,2.624,P < 0.05,*
,,,,
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-65.0 gnaps=2.4,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.357,3.226,-0.1311,-0.2148 to -0.04737
  Yan,3.332,3.064,-0.2685,-0.3522 to -0.1848
,,,,
Model,Difference,t,P value,Summary
  TB,-0.1311,5.865,P<0.001,***
  Yan,-0.2685,12.01,P<0.001,***
,,,,
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-65.0 gnaps=2.4,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.357,3.106,-0.2509,-0.3346 to -0.1672
  Yan,3.332,2.755,-0.5770,-0.6607 to -0.4933
,,,,
Model,Difference,t,P value,Summary
  TB,-0.2509,11.23,P<0.001,***
  Yan,-0.5770,25.82,P<0.001,***
,,,,
eL=-65.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-65.0 gnaps=3.0,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.302,3.226,-0.07675,-0.1604 to 0.006950
  Yan,3.274,3.064,-0.2098,-0.2935 to -0.1261
,,,,
Model,Difference,t,P value,Summary
  TB,-0.07675,3.435,P<0.01,**
  Yan,-0.2098,9.390,P<0.001,***
,,,,
eL=-65.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-65.0 gnaps=3.0,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.302,3.106,-0.1966,-0.2803 to -0.1129
  Yan,3.274,2.755,-0.5183,-0.6020 to -0.4346
,,,,
Model,Difference,t,P value,Summary
  TB,-0.1966,8.797,P<0.001,***
  Yan,-0.5183,23.20,P<0.001,***
,,,,
eL=-65.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-65.0 gnaps=3.6,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.226,3.106,-0.1198,-0.2035 to -0.03613
  Yan,3.064,2.755,-0.3085,-0.3922 to -0.2248
,,,,
Model,Difference,t,P value,Summary
  TB,-0.1198,5.363,P<0.001,***
  Yan,-0.3085,13.81,P<0.001,***
