Parameter,,,,
Table Analyzed,Peaks_per_Burst,,,
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-65.0 gnaps=1.8,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,24.73,62.67,37.94,35.21 to 40.67
  Yan,25.77,67.79,42.02,39.29 to 44.76
,,,,
Model,Difference,t,P value,Summary
  TB,37.94,52.00,P<0.001,***
  Yan,42.02,57.60,P<0.001,***
,,,,
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-65.0 gnaps=2.4,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,33.74,41.75,8.012,5.280 to 10.74
  Yan,33.79,41.80,8.012,5.280 to 10.74
,,,,
Model,Difference,t,P value,Summary
  TB,8.012,10.98,P<0.001,***
  Yan,8.012,10.98,P<0.001,***
,,,,
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-65.0 gnaps=2.4,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,33.74,50.23,16.49,13.76 to 19.23
  Yan,33.79,55.12,21.33,18.60 to 24.07
,,,,
Model,Difference,t,P value,Summary
  TB,16.49,22.61,P<0.001,***
  Yan,21.33,29.24,P<0.001,***
,,,,
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-65.0 gnaps=2.4,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,33.74,62.67,28.93,26.19 to 31.66
  Yan,33.79,67.79,34.00,31.27 to 36.73
,,,,
Model,Difference,t,P value,Summary
  TB,28.93,39.65,P<0.001,***
  Yan,34.00,46.60,P<0.001,***
,,,,
eL=-65.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-65.0 gnaps=3.0,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,41.75,50.23,8.481,5.749 to 11.21
  Yan,41.80,55.12,13.32,10.59 to 16.05
,,,,
Model,Difference,t,P value,Summary
  TB,8.481,11.63,P<0.001,***
  Yan,13.32,18.26,P<0.001,***
,,,,
eL=-65.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-65.0 gnaps=3.0,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,41.75,62.67,20.91,18.18 to 23.65
  Yan,41.80,67.79,25.99,23.26 to 28.72
,,,,
Model,Difference,t,P value,Summary
  TB,20.91,28.67,P<0.001,***
  Yan,25.99,35.62,P<0.001,***
,,,,
eL=-65.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-65.0 gnaps=3.6,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,50.23,62.67,12.43,9.699 to 15.16
  Yan,55.12,67.79,12.67,9.934 to 15.40
,,,,
Model,Difference,t,P value,Summary
  TB,12.43,17.04,P<0.001,***
  Yan,12.67,17.36,P<0.001,***
