Parameter,,,,
Table Analyzed,Intraburst Freq,,,
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-65.0 gnaps=2.4,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,90.60,97.89,7.286,4.080 to 10.49
  Yan,85.15,91.92,6.773,3.567 to 9.978
,,,,
Model,Difference,t,P value,Summary
  TB,7.286,8.513,P<0.001,***
  Yan,6.773,7.913,P<0.001,***
,,,,
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-65.0 gnaps=2.4,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,90.60,99.97,9.372,6.166 to 12.58
  Yan,85.15,83.34,-1.802,-5.008 to 1.404
,,,,
Model,Difference,t,P value,Summary
  TB,9.372,10.95,P<0.001,***
  Yan,-1.802,2.105,P > 0.05,ns
,,,,
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-65.0 gnaps=2.4,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,90.60,100.9,10.30,7.098 to 13.51
  Yan,85.15,70.30,-14.85,-18.05 to -11.64
,,,,
Model,Difference,t,P value,Summary
  TB,10.30,12.04,P<0.001,***
  Yan,-14.85,17.35,P<0.001,***
,,,,
eL=-65.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-65.0 gnaps=3.0,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,97.89,99.97,2.086,-1.120 to 5.292
  Yan,91.92,83.34,-8.574,-11.78 to -5.369
,,,,
Model,Difference,t,P value,Summary
  TB,2.086,2.437,P < 0.05,*
  Yan,-8.574,10.02,P<0.001,***
,,,,
eL=-65.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-65.0 gnaps=3.0,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,97.89,100.9,3.018,-0.1881 to 6.223
  Yan,91.92,70.30,-21.62,-24.82 to -18.41
,,,,
Model,Difference,t,P value,Summary
  TB,3.018,3.526,P<0.001,***
  Yan,-21.62,25.26,P<0.001,***
,,,,
eL=-65.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-65.0 gnaps=3.6,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,99.97,100.9,0.9317,-2.274 to 4.137
  Yan,83.34,70.30,-13.04,-16.25 to -9.838
,,,,
Model,Difference,t,P value,Summary
  TB,0.9317,1.089,P > 0.05,ns
  Yan,-13.04,15.24,P<0.001,***
