Parameter,,,,
Table Analyzed,Total Cycle Time,,,
Model,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,1.870,3.729,1.859,1.774 to 1.943
  Yan,3.721,3.729,0.007726,-0.09012 to 0.1056
,,,,
Model,Difference,t,P value,Summary
  TB,1.859,82.15,P<0.001,***
  Yan,0.007726,0.2957,P > 0.05,ns
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,1.870,3.729,1.859,1.774 to 1.943
  Yan,3.721,3.728,0.007105,-0.09075 to 0.1050
,,,,
Model,Difference,t,P value,Summary
  TB,1.859,82.15,P<0.001,***
  Yan,0.007105,0.2720,P > 0.05,ns
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,1.870,3.728,1.858,1.773 to 1.943
  Yan,3.721,3.725,0.004505,-0.09335 to 0.1024
,,,,
Model,Difference,t,P value,Summary
  TB,1.858,82.13,P<0.001,***
  Yan,0.004505,0.1725,P > 0.05,ns
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,1.870,3.727,1.856,1.772 to 1.941
  Yan,3.721,3.721,0.0003610,-0.09749 to 0.09821
,,,,
Model,Difference,t,P value,Summary
  TB,1.856,82.06,P<0.001,***
  Yan,0.0003610,0.01382,P > 0.05,ns
,,,,
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-65.0 gnaps=1.8,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.729,3.729,0.00008011,-0.09777 to 0.09793
  Yan,3.729,3.729,-0.000004053,-0.09785 to 0.09785
,,,,
Model,Difference,t,P value,Summary
  TB,0.00008011,0.003066,P > 0.05,ns
  Yan,-0.000004053,0.0001552,P > 0.05,ns
,,,,
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-65.0 gnaps=1.8,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.729,3.729,0.00003600,-0.09781 to 0.09789
  Yan,3.729,3.728,-0.0006249,-0.09848 to 0.09723
,,,,
Model,Difference,t,P value,Summary
  TB,0.00003600,0.001378,P > 0.05,ns
  Yan,-0.0006249,0.02392,P > 0.05,ns
,,,,
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-65.0 gnaps=1.8,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.729,3.728,-0.0003650,-0.09822 to 0.09749
  Yan,3.729,3.725,-0.003225,-0.1011 to 0.09463
,,,,
Model,Difference,t,P value,Summary
  TB,-0.0003650,0.01397,P > 0.05,ns
  Yan,-0.003225,0.1234,P > 0.05,ns
,,,,
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-65.0 gnaps=1.8,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.729,3.727,-0.002003,-0.09985 to 0.09585
  Yan,3.729,3.721,-0.007369,-0.1052 to 0.09048
,,,,
Model,Difference,t,P value,Summary
  TB,-0.002003,0.07667,P > 0.05,ns
  Yan,-0.007369,0.2821,P > 0.05,ns
,,,,
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-65.0 gnaps=2.4,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.729,3.729,-0.00004411,-0.09789 to 0.09781
  Yan,3.729,3.728,-0.0006208,-0.09847 to 0.09723
,,,,
Model,Difference,t,P value,Summary
  TB,-0.00004411,0.001688,P > 0.05,ns
  Yan,-0.0006208,0.02377,P > 0.05,ns
,,,,
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-65.0 gnaps=2.4,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.729,3.728,-0.0004451,-0.09830 to 0.09741
  Yan,3.729,3.725,-0.003221,-0.1011 to 0.09463
,,,,
Model,Difference,t,P value,Summary
  TB,-0.0004451,0.01704,P > 0.05,ns
  Yan,-0.003221,0.1233,P > 0.05,ns
,,,,
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-65.0 gnaps=2.4,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.729,3.727,-0.002083,-0.09993 to 0.09577
  Yan,3.729,3.721,-0.007365,-0.1052 to 0.09049
,,,,
Model,Difference,t,P value,Summary
  TB,-0.002083,0.07974,P > 0.05,ns
  Yan,-0.007365,0.2819,P > 0.05,ns
,,,,
eL=-65.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-65.0 gnaps=3.0,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.729,3.728,-0.0004010,-0.09825 to 0.09745
  Yan,3.728,3.725,-0.002600,-0.1005 to 0.09525
,,,,
Model,Difference,t,P value,Summary
  TB,-0.0004010,0.01535,P > 0.05,ns
  Yan,-0.002600,0.09952,P > 0.05,ns
,,,,
eL=-65.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-65.0 gnaps=3.0,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.729,3.727,-0.002039,-0.09989 to 0.09581
  Yan,3.728,3.721,-0.006744,-0.1046 to 0.09111
,,,,
Model,Difference,t,P value,Summary
  TB,-0.002039,0.07805,P > 0.05,ns
  Yan,-0.006744,0.2582,P > 0.05,ns
,,,,
eL=-65.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-65.0 gnaps=3.6,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.728,3.727,-0.001638,-0.09949 to 0.09621
  Yan,3.725,3.721,-0.004144,-0.1020 to 0.09371
,,,,
Model,Difference,t,P value,Summary
  TB,-0.001638,0.06270,P > 0.05,ns
  Yan,-0.004144,0.1586,P > 0.05,ns
