Parameter,,,,
Table Analyzed,Peaks Interval,,,
  Yan,0.005629,0.9696,P > 0.05,ns
  TB,0.003367,0.5481,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.06129,0.05440,-0.006884,-0.02797 to 0.01420
  TB,0.07008,0.05887,-0.01121,-0.03347 to 0.01105
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.006884,1.248,P > 0.05,ns
  TB,-0.01121,1.926,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.6 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.6,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.05186,0.04557,-0.006291,-0.02562 to 0.01304
  TB,0.06017,0.05251,-0.007656,-0.02845 to 0.01313
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.006291,1.244,P > 0.05,ns
  TB,-0.007656,1.408,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,0.05186,0.1276,0.07577,0.04950 to 0.1021
  TB,0.06017,0.1280,0.06780,0.04090 to 0.09470
,,,,
Model,Difference,t,P value,Summary
  Yan,0.07577,11.03,P<0.001,***
  TB,0.06780,9.637,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.05186,0.09720,0.04534,0.02139 to 0.06928
  TB,0.06017,0.1001,0.03996,0.01513 to 0.06479
,,,,
Model,Difference,t,P value,Summary
  Yan,0.04534,7.240,P<0.001,***
  TB,0.03996,6.154,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.05186,0.07854,0.02667,0.004286 to 0.04906
  TB,0.06017,0.07406,0.01389,-0.008827 to 0.03660
,,,,
Model,Difference,t,P value,Summary
  Yan,0.02667,4.556,P<0.001,***
  TB,0.01389,2.338,P < 0.05,*
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.05186,0.06865,0.01679,-0.004723 to 0.03830
  TB,0.06017,0.06379,0.003619,-0.01820 to 0.02544
,,,,
Model,Difference,t,P value,Summary
  Yan,0.01679,2.984,P<0.01,**
  TB,0.003619,0.6343,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.05186,0.06145,0.009590,-0.01126 to 0.03044
  TB,0.06017,0.05784,-0.002331,-0.02361 to 0.01895
,,,,
Model,Difference,t,P value,Summary
  Yan,0.009590,1.759,P > 0.05,ns
  TB,-0.002331,0.4188,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,0.05186,0.1432,0.09130,0.06391 to 0.1187
  TB,0.06017,0.1492,0.08899,0.06061 to 0.1174
,,,,
Model,Difference,t,P value,Summary
  Yan,0.09130,12.74,P<0.001,***
  TB,0.08899,11.99,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.05186,0.1092,0.05731,0.03242 to 0.08219
  TB,0.06017,0.1093,0.04915,0.02362 to 0.07469
,,,,
Model,Difference,t,P value,Summary
  Yan,0.05731,8.805,P<0.001,***
  TB,0.04915,7.361,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.05186,0.08824,0.03638,0.01317 to 0.05959
  TB,0.06017,0.08835,0.02818,0.004289 to 0.05208
,,,,
Model,Difference,t,P value,Summary
  Yan,0.03638,5.993,P<0.001,***
  TB,0.02818,4.510,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.05186,0.06692,0.01505,-0.006314 to 0.03642
  TB,0.06017,0.07345,0.01328,-0.009384 to 0.03594
,,,,
Model,Difference,t,P value,Summary
  Yan,0.01505,2.694,P < 0.05,*
  TB,0.01328,2.240,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.05186,0.05440,0.002540,-0.01767 to 0.02275
  TB,0.06017,0.05887,-0.001300,-0.02269 to 0.02009
,,,,
Model,Difference,t,P value,Summary
  Yan,0.002540,0.4806,P > 0.05,ns
  TB,-0.001300,0.2324,P > 0.05,ns
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,0.04557,0.1276,0.08207,0.05625 to 0.1079
  TB,0.05251,0.1280,0.07546,0.04911 to 0.1018
,,,,
Model,Difference,t,P value,Summary
  Yan,0.08207,12.16,P<0.001,***
  TB,0.07546,10.95,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.04557,0.09720,0.05163,0.02819 to 0.07506
  TB,0.05251,0.1001,0.04762,0.02339 to 0.07185
,,,,
Model,Difference,t,P value,Summary
  Yan,0.05163,8.424,P<0.001,***
  TB,0.04762,7.515,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.04557,0.07854,0.03297,0.01112 to 0.05481
  TB,0.05251,0.07406,0.02154,-0.0005148 to 0.04360
,,,,
Model,Difference,t,P value,Summary
  Yan,0.03297,5.771,P<0.001,***
  TB,0.02154,3.734,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.04557,0.06865,0.02308,0.002137 to 0.04402
  TB,0.05251,0.06379,0.01127,-0.009859 to 0.03241
,,,,
Model,Difference,t,P value,Summary
  Yan,0.02308,4.214,P<0.001,***
  TB,0.01127,2.040,P > 0.05,ns
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.04557,0.06145,0.01588,-0.004381 to 0.03614
  TB,0.05251,0.05784,0.005325,-0.01525 to 0.02590
,,,,
Model,Difference,t,P value,Summary
  Yan,0.01588,2.997,P<0.01,**
  TB,0.005325,0.9896,P > 0.05,ns
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,0.04557,0.1432,0.09759,0.07064 to 0.1245
  TB,0.05251,0.1492,0.09665,0.06879 to 0.1245
,,,,
Model,Difference,t,P value,Summary
  Yan,0.09759,13.85,P<0.001,***
  TB,0.09665,13.27,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.04557,0.1092,0.06360,0.03920 to 0.08799
  TB,0.05251,0.1093,0.05681,0.03186 to 0.08176
,,,,
Model,Difference,t,P value,Summary
  Yan,0.06360,9.967,P<0.001,***
  TB,0.05681,8.706,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.04557,0.08824,0.04267,0.01998 to 0.06535
  TB,0.05251,0.08835,0.03584,0.01257 to 0.05911
,,,,
Model,Difference,t,P value,Summary
  Yan,0.04267,7.192,P<0.001,***
  TB,0.03584,5.888,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.04557,0.06692,0.02135,0.0005499 to 0.04214
  TB,0.05251,0.07345,0.02093,-0.001071 to 0.04294
,,,,
Model,Difference,t,P value,Summary
  Yan,0.02135,3.925,P<0.001,***
  TB,0.02093,3.637,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.04557,0.05440,0.008832,-0.01077 to 0.02843
  TB,0.05251,0.05887,0.006355,-0.01433 to 0.02705
,,,,
Model,Difference,t,P value,Summary
  Yan,0.008832,1.723,P > 0.05,ns
  TB,0.006355,1.175,P > 0.05,ns
,,,,
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=1.8,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.1276,0.09720,-0.03044,-0.05986 to -0.001012
  TB,0.1280,0.1001,-0.02784,-0.05748 to 0.001798
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.03044,3.955,P<0.001,***
  TB,-0.02784,3.592,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=1.8,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.1276,0.07854,-0.04910,-0.07728 to -0.02092
  TB,0.1280,0.07406,-0.05392,-0.08181 to -0.02602
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.04910,6.663,P<0.001,***
  TB,-0.05392,7.391,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=1.8,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.1276,0.06865,-0.05899,-0.08647 to -0.03150
  TB,0.1280,0.06379,-0.06418,-0.09135 to -0.03702
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.05899,8.206,P<0.001,***
  TB,-0.06418,9.033,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=1.8,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.1276,0.06145,-0.06618,-0.09315 to -0.03921
  TB,0.1280,0.05784,-0.07013,-0.09687 to -0.04340
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.06618,9.383,P<0.001,***
  TB,-0.07013,10.03,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,0.1276,0.1432,0.01552,-0.01677 to 0.04782
  TB,0.1280,0.1492,0.02119,-0.01148 to 0.05386
,,,,
Model,Difference,t,P value,Summary
  Yan,0.01552,1.838,P > 0.05,ns
  TB,0.02119,2.480,P < 0.05,*
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.1276,0.1092,-0.01847,-0.04867 to 0.01173
  TB,0.1280,0.1093,-0.01865,-0.04888 to 0.01158
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.01847,2.338,P < 0.05,*
  TB,-0.01865,2.359,P < 0.05,*
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.1276,0.08824,-0.03940,-0.06823 to -0.01056
  TB,0.1280,0.08835,-0.03962,-0.06848 to -0.01076
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.03940,5.224,P<0.001,***
  TB,-0.03962,5.248,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.1276,0.06692,-0.06072,-0.08809 to -0.03335
  TB,0.1280,0.07345,-0.05453,-0.08238 to -0.02668
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.06072,8.482,P<0.001,***
  TB,-0.05453,7.486,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.1276,0.05440,-0.07323,-0.09971 to -0.04676
  TB,0.1280,0.05887,-0.06910,-0.09593 to -0.04228
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.07323,10.58,P<0.001,***
  TB,-0.06910,9.850,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=2.4,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.09720,0.07854,-0.01866,-0.04467 to 0.007350
  TB,0.1001,0.07406,-0.02607,-0.05197 to -0.0001754
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.01866,2.743,P < 0.05,*
  TB,-0.02607,3.849,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=2.4,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.09720,0.06865,-0.02855,-0.05381 to -0.003288
  TB,0.1001,0.06379,-0.03634,-0.06146 to -0.01123
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.02855,4.321,P<0.001,***
  TB,-0.03634,5.533,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=2.4,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.09720,0.06145,-0.03575,-0.06045 to -0.01104
  TB,0.1001,0.05784,-0.04229,-0.06694 to -0.01764
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.03575,5.533,P<0.001,***
  TB,-0.04229,6.561,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,0.09720,0.1432,0.04596,0.01554 to 0.07639
  TB,0.1001,0.1492,0.04903,0.01804 to 0.08001
,,,,
Model,Difference,t,P value,Summary
  Yan,0.04596,5.776,P<0.001,***
  TB,0.04903,6.050,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.09720,0.1092,0.01197,-0.01622 to 0.04016
  TB,0.1001,0.1093,0.009193,-0.01921 to 0.03759
,,,,
Model,Difference,t,P value,Summary
  Yan,0.01197,1.624,P > 0.05,ns
  TB,0.009193,1.238,P > 0.05,ns
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.09720,0.08824,-0.008958,-0.03568 to 0.01777
  TB,0.1001,0.08835,-0.01178,-0.03872 to 0.01516
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.008958,1.282,P > 0.05,ns
  TB,-0.01178,1.672,P > 0.05,ns
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.09720,0.06692,-0.03028,-0.05542 to -0.005142
  TB,0.1001,0.07345,-0.02668,-0.05254 to -0.0008316
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.03028,4.606,P<0.001,***
  TB,-0.02668,3.947,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.09720,0.05440,-0.04280,-0.06696 to -0.01863
  TB,0.1001,0.05887,-0.04126,-0.06601 to -0.01652
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.04280,6.772,P<0.001,***
  TB,-0.04126,6.376,P<0.001,***
,,,,
eL=-60.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=3.0,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.07854,0.06865,-0.009887,-0.03368 to 0.01391
  TB,0.07406,0.06379,-0.01027,-0.03330 to 0.01276
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.009887,1.589,P > 0.05,ns
  TB,-0.01027,1.705,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=3.0,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.07854,0.06145,-0.01708,-0.04028 to 0.006114
  TB,0.07406,0.05784,-0.01622,-0.03874 to 0.006300
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.01708,2.816,P<0.01,**
  TB,-0.01622,2.754,P < 0.05,*
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,0.07854,0.1432,0.06462,0.03541 to 0.09384
  TB,0.07406,0.1492,0.07510,0.04578 to 0.1044
,,,,
Model,Difference,t,P value,Summary
  Yan,0.06462,8.457,P<0.001,***
  TB,0.07510,9.794,P<0.001,***
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.07854,0.1092,0.03063,0.003748 to 0.05752
  TB,0.07406,0.1093,0.03527,0.008693 to 0.06184
,,,,
Model,Difference,t,P value,Summary
  Yan,0.03063,4.357,P<0.001,***
  TB,0.03527,5.074,P<0.001,***
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.07854,0.08824,0.009704,-0.01564 to 0.03504
  TB,0.07406,0.08835,0.01430,-0.01071 to 0.03930
,,,,
Model,Difference,t,P value,Summary
  Yan,0.009704,1.464,P > 0.05,ns
  TB,0.01430,2.186,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.07854,0.06692,-0.01162,-0.03528 to 0.01204
  TB,0.07406,0.07345,-0.0006102,-0.02444 to 0.02322
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.01162,1.878,P > 0.05,ns
  TB,-0.0006102,0.09790,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.07854,0.05440,-0.02413,-0.04676 to -0.001510
  TB,0.07406,0.05887,-0.01519,-0.03781 to 0.007435
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.02413,4.079,P<0.001,***
  TB,-0.01519,2.567,P < 0.05,*
,,,,
eL=-60.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=3.6,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.06865,0.06145,-0.007197,-0.02955 to 0.01515
  TB,0.06379,0.05784,-0.005950,-0.02756 to 0.01566
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.007197,1.231,P > 0.05,ns
  TB,-0.005950,1.053,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,0.06865,0.1432,0.07451,0.04596 to 0.1031
  TB,0.06379,0.1492,0.08537,0.05674 to 0.1140
,,,,
Model,Difference,t,P value,Summary
  Yan,0.07451,9.978,P<0.001,***
  TB,0.08537,11.40,P<0.001,***
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.06865,0.1092,0.04052,0.01436 to 0.06668
  TB,0.06379,0.1093,0.04554,0.01972 to 0.07135
,,,,
Model,Difference,t,P value,Summary
  Yan,0.04052,5.923,P<0.001,***
  TB,0.04554,6.745,P<0.001,***
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.06865,0.08824,0.01959,-0.004977 to 0.04416
  TB,0.06379,0.08835,0.02457,0.0003695 to 0.04876
,,,,
Model,Difference,t,P value,Summary
  Yan,0.01959,3.049,P<0.01,**
  TB,0.02457,3.882,P<0.001,***
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.06865,0.06692,-0.001733,-0.02457 to 0.02110
  TB,0.06379,0.07345,0.009658,-0.01332 to 0.03264
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.001733,0.2902,P > 0.05,ns
  TB,0.009658,1.607,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.06865,0.05440,-0.01425,-0.03600 to 0.007508
  TB,0.06379,0.05887,-0.004919,-0.02664 to 0.01680
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.01425,2.504,P < 0.05,*
  TB,-0.004919,0.8659,P > 0.05,ns
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,0.06145,0.1432,0.08171,0.05365 to 0.1098
  TB,0.05784,0.1492,0.09132,0.06310 to 0.1195
,,,,
Model,Difference,t,P value,Summary
  Yan,0.08171,11.13,P<0.001,***
  TB,0.09132,12.37,P<0.001,***
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.06145,0.1092,0.04772,0.02210 to 0.07333
  TB,0.05784,0.1093,0.05149,0.02613 to 0.07684
,,,,
Model,Difference,t,P value,Summary
  Yan,0.04772,7.122,P<0.001,***
  TB,0.05149,7.763,P<0.001,***
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.06145,0.08824,0.02679,0.002795 to 0.05078
  TB,0.05784,0.08835,0.03052,0.006805 to 0.05422
,,,,
Model,Difference,t,P value,Summary
  Yan,0.02679,4.269,P<0.001,***
  TB,0.03052,4.921,P<0.001,***
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.06145,0.06692,0.005464,-0.01675 to 0.02768
  TB,0.05784,0.07345,0.01561,-0.006857 to 0.03807
,,,,
Model,Difference,t,P value,Summary
  Yan,0.005464,0.9404,P > 0.05,ns
  TB,0.01561,2.656,P < 0.05,*
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.06145,0.05440,-0.007050,-0.02815 to 0.01405
  TB,0.05784,0.05887,0.001030,-0.02015 to 0.02221
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.007050,1.277,P > 0.05,ns
  TB,0.001030,0.1860,P > 0.05,ns
,,,,
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-65.0 gnaps=1.8,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.1432,0.1092,-0.03399,-0.06517 to -0.002817
  TB,0.1492,0.1093,-0.03984,-0.07139 to -0.008282
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.03399,4.169,P<0.001,***
  TB,-0.03984,4.827,P<0.001,***
,,,,
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-65.0 gnaps=1.8,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.1432,0.08824,-0.05492,-0.08477 to -0.02507
  TB,0.1492,0.08835,-0.06081,-0.09105 to -0.03056
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.05492,7.034,P<0.001,***
  TB,-0.06081,7.687,P<0.001,***
,,,,
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-65.0 gnaps=1.8,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.1432,0.06692,-0.07624,-0.1047 to -0.04780
  TB,0.1492,0.07345,-0.07571,-0.1050 to -0.04643
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.07624,10.25,P<0.001,***
  TB,-0.07571,9.887,P<0.001,***
,,,,
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-65.0 gnaps=1.8,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.1432,0.05440,-0.08876,-0.1163 to -0.06117
  TB,0.1492,0.05887,-0.09029,-0.1186 to -0.06198
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.08876,12.30,P<0.001,***
  TB,-0.09029,12.20,P<0.001,***
,,,,
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-65.0 gnaps=2.4,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
