Parameter,,,,
Table Analyzed,Peaks Amplitude,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,5.381,5.309,-0.07194,-0.1114 to -0.03253
  TB,5.458,5.333,-0.1253,-0.1656 to -0.08491
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.07194,6.979,P<0.001,***
  TB,-0.1253,11.87,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.381,5.358,-0.02266,-0.05858 to 0.01326
  TB,5.458,5.261,-0.1976,-0.2349 to -0.1604
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.02266,2.412,P < 0.05,*
  TB,-0.1976,20.29,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.381,5.436,0.05509,0.02150 to 0.08867
  TB,5.458,5.515,0.05651,0.02244 to 0.09059
,,,,
Model,Difference,t,P value,Summary
  Yan,0.05509,6.271,P<0.001,***
  TB,0.05651,6.341,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.381,5.463,0.08199,0.04973 to 0.1143
  TB,5.458,5.584,0.1257,0.09298 to 0.1584
,,,,
Model,Difference,t,P value,Summary
  Yan,0.08199,9.716,P<0.001,***
  TB,0.1257,14.69,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.381,5.488,0.1067,0.07538 to 0.1379
  TB,5.458,5.504,0.04596,0.01404 to 0.07788
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1067,13.04,P<0.001,***
  TB,0.04596,5.505,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,5.381,5.353,-0.02766,-0.06875 to 0.01343
  TB,5.458,5.415,-0.04314,-0.08571 to -0.0005732
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.02766,2.574,P < 0.05,*
  TB,-0.04314,3.875,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.381,4.925,-0.4562,-0.4935 to -0.4189
  TB,5.458,4.800,-0.6581,-0.6964 to -0.6198
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.4562,46.72,P<0.001,***
  TB,-0.6581,65.70,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.381,4.696,-0.6853,-0.7201 to -0.6505
  TB,5.458,4.126,-1.333,-1.368 to -1.297
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.6853,75.26,P<0.001,***
  TB,-1.333,142.1,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.381,5.129,-0.2518,-0.2838 to -0.2197
  TB,5.458,3.648,-1.810,-1.844 to -1.776
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.2518,30.03,P<0.001,***
  TB,-1.810,203.6,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.381,5.460,0.07921,0.04889 to 0.1095
  TB,5.458,3.870,-1.588,-1.620 to -1.556
,,,,
Model,Difference,t,P value,Summary
  Yan,0.07921,9.989,P<0.001,***
  TB,-1.588,189.3,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,5.395,5.309,-0.08611,-0.1248 to -0.04739
  TB,5.474,5.333,-0.1409,-0.1804 to -0.1013
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.08611,8.503,P<0.001,***
  TB,-0.1409,13.63,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.395,5.358,-0.03683,-0.07198 to -0.001679
  TB,5.474,5.261,-0.2132,-0.2496 to -0.1769
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.03683,4.006,P<0.001,***
  TB,-0.2132,22.43,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.395,5.436,0.04092,0.008149 to 0.07368
  TB,5.474,5.515,0.04090,0.007813 to 0.07399
,,,,
Model,Difference,t,P value,Summary
  Yan,0.04092,4.774,P<0.001,***
  TB,0.04090,4.726,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.395,5.463,0.06782,0.03641 to 0.09924
  TB,5.474,5.584,0.1101,0.07840 to 0.1418
,,,,
Model,Difference,t,P value,Summary
  Yan,0.06782,8.255,P<0.001,***
  TB,0.1101,13.28,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.395,5.488,0.09249,0.06209 to 0.1229
  TB,5.474,5.504,0.03035,-0.0005186 to 0.06122
,,,,
Model,Difference,t,P value,Summary
  Yan,0.09249,11.63,P<0.001,***
  TB,0.03035,3.759,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,5.395,5.353,-0.04183,-0.08225 to -0.001410
  TB,5.474,5.415,-0.05875,-0.1005 to -0.01696
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.04183,3.957,P<0.001,***
  TB,-0.05875,5.376,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.395,4.925,-0.4704,-0.5070 to -0.4338
  TB,5.474,4.800,-0.6737,-0.7111 to -0.6362
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.4704,49.14,P<0.001,***
  TB,-0.6737,68.82,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.395,4.696,-0.6995,-0.7335 to -0.6655
  TB,5.474,4.126,-1.348,-1.383 to -1.313
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.6995,78.60,P<0.001,***
  TB,-1.348,147.7,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.395,5.129,-0.2660,-0.2971 to -0.2348
  TB,5.474,3.648,-1.826,-1.859 to -1.793
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.2660,32.60,P<0.001,***
  TB,-1.826,211.5,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.395,5.460,0.06504,0.03563 to 0.09444
  TB,5.474,3.870,-1.604,-1.635 to -1.573
,,,,
Model,Difference,t,P value,Summary
  Yan,0.06504,8.456,P<0.001,***
  TB,-1.604,197.6,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=1.8,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.309,5.358,0.04928,0.005143 to 0.09342
  TB,5.333,5.261,-0.07237,-0.1168 to -0.02791
,,,,
Model,Difference,t,P value,Summary
  Yan,0.04928,4.269,P<0.001,***
  TB,-0.07237,6.224,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=1.8,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.309,5.436,0.1270,0.08476 to 0.1693
  TB,5.333,5.515,0.1818,0.1399 to 0.2236
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1270,11.49,P<0.001,***
  TB,0.1818,16.61,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=1.8,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.309,5.463,0.1539,0.1127 to 0.1952
  TB,5.333,5.584,0.2510,0.2102 to 0.2917
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1539,14.28,P<0.001,***
  TB,0.2510,23.55,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=1.8,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.309,5.488,0.1786,0.1381 to 0.2191
  TB,5.333,5.504,0.1712,0.1311 to 0.2113
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1786,16.88,P<0.001,***
  TB,0.1712,16.32,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,5.309,5.353,0.04428,-0.004161 to 0.09272
  TB,5.333,5.415,0.08212,0.03311 to 0.1311
,,,,
Model,Difference,t,P value,Summary
  Yan,0.04428,3.495,P<0.001,***
  TB,0.08212,6.407,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.309,4.925,-0.3842,-0.4295 to -0.3389
  TB,5.333,4.800,-0.5328,-0.5781 to -0.4875
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.3842,32.43,P<0.001,***
  TB,-0.5328,44.93,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.309,4.696,-0.6134,-0.6566 to -0.5701
  TB,5.333,4.126,-1.207,-1.251 to -1.164
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.6134,54.22,P<0.001,***
  TB,-1.207,106.6,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.309,5.129,-0.1798,-0.2209 to -0.1388
  TB,5.333,3.648,-1.685,-1.726 to -1.643
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.1798,16.75,P<0.001,***
  TB,-1.685,154.2,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.309,5.460,0.1511,0.1114 to 0.1909
  TB,5.333,3.870,-1.463,-1.503 to -1.423
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1511,14.55,P<0.001,***
  TB,-1.463,139.0,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=2.4,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.358,5.436,0.07775,0.03873 to 0.1168
  TB,5.261,5.515,0.2541,0.2153 to 0.2930
,,,,
Model,Difference,t,P value,Summary
  Yan,0.07775,7.618,P<0.001,***
  TB,0.2541,25.01,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=2.4,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.358,5.463,0.1047,0.06676 to 0.1425
  TB,5.261,5.584,0.3233,0.2857 to 0.3610
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1047,10.56,P<0.001,***
  TB,0.3233,32.81,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=2.4,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.358,5.488,0.1293,0.09227 to 0.1664
  TB,5.261,5.504,0.2436,0.2066 to 0.2806
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1293,13.34,P<0.001,***
  TB,0.2436,25.19,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,5.358,5.353,-0.005001,-0.05064 to 0.04064
  TB,5.261,5.415,0.1545,0.1080 to 0.2010
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.005001,0.4190,P > 0.05,ns
  TB,0.1545,12.71,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.358,4.925,-0.4335,-0.4758 to -0.3912
  TB,5.261,4.800,-0.4604,-0.5030 to -0.4178
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.4335,39.20,P<0.001,***
  TB,-0.4604,41.32,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.358,4.696,-0.6627,-0.7028 to -0.6226
  TB,5.261,4.126,-1.135,-1.175 to -1.095
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.6627,63.21,P<0.001,***
  TB,-1.135,107.4,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.358,5.129,-0.2291,-0.2668 to -0.1914
  TB,5.261,3.648,-1.612,-1.651 to -1.574
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.2291,23.23,P<0.001,***
  TB,-1.612,159.0,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.358,5.460,0.1019,0.06562 to 0.1381
  TB,5.261,3.870,-1.391,-1.428 to -1.354
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1019,10.75,P<0.001,***
  TB,-1.391,143.3,P<0.001,***
,,,,
eL=-60.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=3.0,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.436,5.463,0.02691,-0.008783 to 0.06260
  TB,5.515,5.584,0.06920,0.03465 to 0.1037
,,,,
Model,Difference,t,P value,Summary
  Yan,0.02691,2.883,P<0.01,**
  TB,0.06920,7.659,P<0.001,***
,,,,
eL=-60.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=3.0,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.436,5.488,0.05157,0.01677 to 0.08637
  TB,5.515,5.504,-0.01056,-0.04434 to 0.02323
,,,,
Model,Difference,t,P value,Summary
  Yan,0.05157,5.667,P<0.001,***
  TB,-0.01056,1.195,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,5.436,5.353,-0.08275,-0.1266 to -0.03892
  TB,5.515,5.415,-0.09965,-0.1436 to -0.05567
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.08275,7.219,P<0.001,***
  TB,-0.09965,8.663,P<0.001,***
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.436,4.925,-0.5113,-0.5516 to -0.4709
  TB,5.515,4.800,-0.7146,-0.7544 to -0.6747
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.5113,48.48,P<0.001,***
  TB,-0.7146,68.54,P<0.001,***
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.436,4.696,-0.7404,-0.7784 to -0.7024
  TB,5.515,4.126,-1.389,-1.427 to -1.352
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.7404,74.48,P<0.001,***
  TB,-1.389,141.6,P<0.001,***
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.436,5.129,-0.3069,-0.3424 to -0.2714
  TB,5.515,3.648,-1.866,-1.902 to -1.831
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.3069,33.05,P<0.001,***
  TB,-1.866,199.6,P<0.001,***
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.436,5.460,0.02412,-0.009818 to 0.05806
  TB,5.515,3.870,-1.645,-1.679 to -1.611
,,,,
Model,Difference,t,P value,Summary
  Yan,0.02412,2.717,P < 0.05,*
  TB,-1.645,185.3,P<0.001,***
,,,,
eL=-60.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=3.6,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.463,5.488,0.02467,-0.008865 to 0.05820
  TB,5.584,5.504,-0.07975,-0.1122 to -0.04733
,,,,
Model,Difference,t,P value,Summary
  Yan,0.02467,2.813,P<0.01,**
  TB,-0.07975,9.405,P<0.001,***
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,5.463,5.353,-0.1097,-0.1525 to -0.06683
  TB,5.584,5.415,-0.1689,-0.2118 to -0.1259
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.1097,9.790,P<0.001,***
  TB,-0.1689,15.03,P<0.001,***
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.463,4.925,-0.5382,-0.5774 to -0.4989
  TB,5.584,4.800,-0.7838,-0.8225 to -0.7450
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.5382,52.44,P<0.001,***
  TB,-0.7838,77.40,P<0.001,***
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.463,4.696,-0.7673,-0.8042 to -0.7305
  TB,5.584,4.126,-1.458,-1.495 to -1.422
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.7673,79.61,P<0.001,***
  TB,-1.458,153.6,P<0.001,***
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.463,5.129,-0.3338,-0.3680 to -0.2995
  TB,5.584,3.648,-1.936,-1.970 to -1.901
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.3338,37.25,P<0.001,***
  TB,-1.936,214.7,P<0.001,***
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.463,5.460,-0.002788,-0.03542 to 0.02985
  TB,5.584,3.870,-1.714,-1.747 to -1.682
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.002788,0.3266,P > 0.05,ns
  TB,-1.714,201.1,P<0.001,***
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,5.488,5.353,-0.1343,-0.1764 to -0.09223
  TB,5.504,5.415,-0.08910,-0.1314 to -0.04676
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.1343,12.20,P<0.001,***
  TB,-0.08910,8.047,P<0.001,***
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.488,4.925,-0.5628,-0.6013 to -0.5244
  TB,5.504,4.800,-0.7040,-0.7420 to -0.6660
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.5628,56.00,P<0.001,***
  TB,-0.7040,70.77,P<0.001,***
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.488,4.696,-0.7920,-0.8280 to -0.7560
  TB,5.504,4.126,-1.379,-1.414 to -1.343
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.7920,84.14,P<0.001,***
  TB,-1.379,148.2,P<0.001,***
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.488,5.129,-0.3584,-0.3918 to -0.3251
  TB,5.504,3.648,-1.856,-1.890 to -1.822
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.3584,41.13,P<0.001,***
  TB,-1.856,210.6,P<0.001,***
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.488,5.460,-0.02745,-0.05911 to 0.004205
  TB,5.504,3.870,-1.634,-1.666 to -1.603
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.02745,3.316,P<0.01,**
  TB,-1.634,196.7,P<0.001,***
,,,,
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-65.0 gnaps=1.8,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.353,4.925,-0.4285,-0.4753 to -0.3818
  TB,5.415,4.800,-0.6149,-0.6622 to -0.5676
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.4285,35.04,P<0.001,***
  TB,-0.6149,49.68,P<0.001,***
,,,,
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-65.0 gnaps=1.8,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.353,4.696,-0.6577,-0.7024 to -0.6129
  TB,5.415,4.126,-1.289,-1.335 to -1.244
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.6577,56.15,P<0.001,***
  TB,-1.289,108.7,P<0.001,***
,,,,
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-65.0 gnaps=1.8,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.353,5.129,-0.2241,-0.2668 to -0.1815
  TB,5.415,3.648,-1.767,-1.811 to -1.723
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.2241,20.08,P<0.001,***
  TB,-1.767,153.8,P<0.001,***
,,,,
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-65.0 gnaps=1.8,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.353,5.460,0.1069,0.06549 to 0.1482
  TB,5.415,3.870,-1.545,-1.588 to -1.503
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1069,9.875,P<0.001,***
  TB,-1.545,139.2,P<0.001,***
,,,,
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-65.0 gnaps=2.4,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,4.925,4.696,-0.2291,-0.2705 to -0.1878
  TB,4.800,4.126,-0.6745,-0.7159 to -0.6332
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.2291,21.18,P<0.001,***
  TB,-0.6745,62.32,P<0.001,***
,,,,
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-65.0 gnaps=2.4,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,4.925,5.129,0.2044,0.1653 to 0.2435
  TB,4.800,3.648,-1.152,-1.192 to -1.112
,,,,
Model,Difference,t,P value,Summary
  Yan,0.2044,20.01,P<0.001,***
  TB,-1.152,110.7,P<0.001,***
,,,,
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-65.0 gnaps=2.4,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,4.925,5.460,0.5354,0.4977 to 0.5730
  TB,4.800,3.870,-0.9304,-0.9685 to -0.8922
,,,,
Model,Difference,t,P value,Summary
  Yan,0.5354,54.37,P<0.001,***
  TB,-0.9304,93.18,P<0.001,***
,,,,
eL=-65.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-65.0 gnaps=3.0,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,4.696,5.129,0.4335,0.3969 to 0.4702
  TB,4.126,3.648,-0.4774,-0.5148 to -0.4399
,,,,
Model,Difference,t,P value,Summary
  Yan,0.4335,45.21,P<0.001,***
  TB,-0.4774,48.75,P<0.001,***
,,,,
eL=-65.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,,,,
